Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
6,58.1,0.79,0.7,55.82,13.13,-1035.25,-6.3
7,59.33,0.76,0.7,46.25,20.43,-1038.65,-9.26
13,58.21,0.85,0.7,45.17,23.48,-38.53,4.31
46,53.91,0.68,0.7,64.0,15.19,-76.08,3.25
53,58.23,0.49,0.7,36.13,15.75,-1048.66,-10.04
86,53.55,0.53,0.7,42.88,21.56,-1024.48,-1.73
96,53.12,0.52,0.7,25.56,17.98,-444.94,0.5
108,54.56,0.62,0.7,46.59,23.41,-1023.81,-0.81
116,62.38,0.49,0.7,45.69,18.5,-1061.96,-10.43
129,57.77,0.5,0.7,54.11,18.48,-1041.7,-10.05
140,51.7,0.55,0.7,43.01,19.55,-34.26,4.49
172,55.92,0.71,0.7,58.89,22.11,-169.32,2.0
199,65.83,0.83,0.7,45.4,23.38,-1056.51,-10.44
204,59.86,0.9,0.7,48.05,9.1,-1039.29,-10.01
206,55.13,0.73,0.7,49.64,15.59,-113.87,2.62
213,53.52,0.61,0.7,48.38,14.33,-182.76,1.89
240,53.35,0.51,0.7,57.19,19.88,-97.28,2.87
270,69.51,0.72,0.7,78.8,26.21,-1076.32,-10.23
272,60.84,0.95,0.7,58.01,17.35,-1033.17,-5.42
275,60.16,0.81,0.7,45.92,17.98,-1033.52,-6.48
294,53.47,0.52,0.7,40.19,28.1,-1034.3,-5.66
295,48.97,0.45,0.7,54.26,22.26,-28.51,4.78
301,58.64,1.0,0.7,48.33,15.56,-296.01,1.13
324,54.36,0.63,0.7,59.86,21.56,-38.58,4.31
328,56.85,0.61,0.7,42.69,23.68,-1032.27,-4.94
331,57.19,0.81,0.7,44.66,16.79,-1025.52,-2.01
332,58.85,0.73,0.7,58.03,18.97,-1043.69,-10.06
360,57.27,0.67,0.7,39.17,25.88,-1030.61,-4.15
371,58.41,0.8,0.7,55.94,14.89,-1034.3,-5.92
373,57.24,0.68,0.7,61.54,13.92,-1031.11,-5.38
384,59.54,0.73,0.7,41.55,24.89,-1039.35,-8.76
424,54.04,0.68,0.7,50.54,15.21,-262.9,1.32
429,57.66,0.67,0.7,50.82,26.04,-1033.28,-4.92
441,49.06,0.34,0.7,59.09,33.8,-1043.78,-10.03
464,55.81,0.61,0.7,56.66,15.86,-1024.5,-1.38
465,62.59,0.79,0.7,44.21,21.1,-1045.6,-10.04
497,62.35,0.72,0.7,48.05,22.35,-1048.04,-10.17
499,65.89,0.55,0.7,41.34,11.92,-1065.07,-10.01
506,58.51,0.84,0.7,52.21,15.46,-33.44,4.53
507,59.67,0.61,0.7,54.74,9.29,-1047.09,-10.28
514,60.48,0.8,0.7,53.9,21.31,-1034.04,-5.56
521,62.01,0.4,0.7,55.93,25.81,-1066.78,-10.35
538,59.64,0.46,0.7,40.87,26.41,-1058.86,-10.19
584,57.48,0.47,0.7,44.44,19.64,-1041.61,-9.1
586,60.18,0.69,0.7,68.92,25.89,-1050.98,-10.06
610,51.98,0.43,0.7,50.17,22.63,-1025.85,-1.41
616,54.41,0.46,0.7,43.85,26.47,-1027.28,-2.04
674,59.96,0.48,0.7,63.11,24.07,-1031.96,-3.98
769,55.28,0.61,0.7,49.19,16.61,-500.82,0.32
770,56.24,0.68,0.7,63.2,13.12,-1029.96,-3.57
785,55.8,0.71,0.7,51.79,15.55,-1024.81,-1.03
800,49.89,0.44,0.7,49.44,19.69,-1026.71,-1.95
808,65.37,0.93,0.7,71.56,21.79,-1031.97,-8.1
812,57.13,0.88,0.7,51.31,23.13,-26.22,4.91
869,53.71,0.53,0.7,49.61,13.54,-548.06,0.17
929,54.21,0.72,0.7,49.59,23.57,-29.18,4.74
934,63.7,0.57,0.7,53.26,11.02,-1057.71,-10.28
940,66.7,0.57,0.7,48.2,25.62,-1074.28,-10.16
942,64.03,0.77,0.7,31.96,30.56,-1056.83,-10.11
943,56.43,0.61,0.7,50.09,12.97,-1039.4,-5.65
960,51.48,0.58,0.7,43.29,21.25,-112.94,2.64
971,52.44,0.69,0.7,56.84,19.71,-45.06,4.07
974,61.04,0.45,0.7,37.11,17.63,-1057.31,-10.41
983,56.94,0.86,0.7,85.44,19.42,-249.49,1.4
1002,48.05,0.44,0.7,55.34,17.64,-31.87,4.61
1003,57.71,0.88,0.7,56.52,28.74,-573.43,0.1
1004,59.38,0.73,0.7,44.71,5.34,-1042.72,-7.07
1018,65.86,0.4,0.7,59.15,19.95,-1075.79,-10.65
1023,53.3,0.71,0.7,46.34,18.1,-1038.75,-10.11
1056,53.93,0.67,0.7,74.02,11.82,-64.73,3.5
1057,48.01,0.34,0.7,52.14,16.34,-183.02,1.88
1061,55.66,0.65,0.7,52.93,15.07,-1037.81,-10.08
1065,49.11,0.56,0.7,32.2,24.73,-44.04,4.1
1137,67.07,0.57,0.7,39.86,17.73,-369.65,0.79
1597,61.6,0.29,0.7,78.47,19.53,-62.26,3.56
1705,69.44,0.61,0.7,65.11,13.98,-157.46,2.12
3169,67.0,0.31,0.7,43.56,23.4,-278.63,1.23
6411,71.07,0.66,0.7,74.88,22.93,-1044.28,-7.37
6450,63.56,0.53,0.7,59.54,24.3,0.0,5.0
6539,70.12,0.68,0.7,45.56,22.99,-1030.82,-1.0
6567,73.09,0.73,0.7,57.44,28.43,-1042.77,-6.47
6862,69.44,0.6,0.7,42.91,21.81,-1038.01,-3.96
7550,62.6,0.46,0.7,58.89,30.44,-1031.16,-1.19
7830,71.84,0.65,0.7,54.38,26.89,-1046.57,-9.05
7886,66.53,0.51,0.7,62.72,23.76,-1037.45,-4.03
